p_bat,player_name,style,batruns,innings_length,strike_rate,innings_count
56029,Mushfiqur Rahim,Accumulator,899,18.563106796116504,40.75515781595925,103
34102,Rohit Sharma,Accumulator,701,15.151515151515152,37.60365810683718,99
55608,Hamilton Masakadza,Accumulator,807,18.626262626262626,37.47676229102379,99
49289,Mahela Jayawardene,Accumulator,607,15.021739130434783,35.24737156811635,92
56194,Tamim Iqbal,Accumulator,728,17.695652173913043,37.06774984880219,92
50747,Upul Tharanga,Accumulator,666,17.697674418604652,36.40499008964638,86
41434,Mohammad Hafeez,Accumulator,603,16.36144578313253,35.537969815305395,83
253802,Virat Kohli,Accumulator,587,13.927710843373495,39.23789519854435,83
50710,Kumar Sangakkara,Accumulator,685,18.80246913580247,37.289406121411325,81
38699,Ross Taylor,Accumulator,686,17.59493670886076,42.449319434720614,79
56143,Shakib Al Hasan,Accumulator,584,16.727272727272727,37.20949526660142,77
24611,William Porterfield,Accumulator,709,21.407894736842106,36.984520184465836,76
55343,Elton Chigumbura,Accumulator,498,15.135135135135135,38.34345706414275,74
24598,Eoin Morgan,Accumulator,417,13.082191780821917,33.9096277114823,73
56025,Mahmudullah,Accumulator,573,17.958333333333332,35.876104696906864,72
28081,MS Dhoni,Accumulator,637,17.98611111111111,41.54583304116368,72
55814,Brendan Taylor,Accumulator,525,16.070422535211268,35.611814875652065,71
48472,Tillakaratne Dilshan,Accumulator,544,15.366197183098592,43.52029822785886,71
49758,Lasith Malinga,Accumulator,152,6.114285714285714,23.07204344642768,70
51880,Chris Gayle,Accumulator,295,11.914285714285715,28.181472539216685,70
253802,Virat Kohli,Anchor,11890,86.1118881118881,94.49991606606947,143
50710,Kumar Sangakkara,Anchor,8499,85.61666666666666,81.96269075215909,120
28081,MS Dhoni,Anchor,6772,74.62962962962963,82.34861065513834,108
38699,Ross Taylor,Anchor,6788,81.94845360824742,83.98370384802041,97
34102,Rohit Sharma,Anchor,8341,89.83157894736843,95.17943744387213,95
56194,Tamim Iqbal,Anchor,6292,82.63440860215054,80.06218610267791,93
48472,Tillakaratne Dilshan,Anchor,6302,82.68181818181819,84.4308419601463,88
4578,Michael Clarke,Anchor,5444,79.36046511627907,79.33212702169352,86
49289,Mahela Jayawardene,Anchor,5666,77.02352941176471,85.6254498741452,85
277906,Kane Williamson,Anchor,5712,82.08536585365853,82.727944350243,82
43906,Hashim Amla,Anchor,6556,90.45679012345678,87.58987035487478,81
56143,Shakib Al Hasan,Anchor,4727,71.43589743589743,84.4680300772866,78
303669,Joe Root,Anchor,5186,78.69333333333333,86.28923458078846,75
44936,AB de Villiers,Anchor,5943,80.17567567567568,98.79257700039527,74
56029,Mushfiqur Rahim,Anchor,4745,77.67123287671232,82.14207726745786,73
226492,Martin Guptill,Anchor,5277,85.35714285714286,85.5476799505405,70
50747,Upul Tharanga,Anchor,4686,86.3913043478261,77.18003943669146,69
28235,Shikhar Dhawan,Anchor,5270,81.51470588235294,93.40710503170946,68
7133,Ricky Ponting,Anchor,4920,81.05882352941177,87.31997337026677,68
41434,Mohammad Hafeez,Anchor,4352,80.33846153846154,81.80985860180382,65
42639,Shahid Afridi,Attacker,2594,17.385964912280702,130.93792308741868,114
28081,MS Dhoni,Attacker,3261,26.3,115.1509924948687,110
48472,Tillakaratne Dilshan,Attacker,2345,22.3265306122449,107.98019610362294,98
44936,AB de Villiers,Attacker,2850,27.417582417582416,113.10528876231616,91
33335,Suresh Raina,Attacker,2554,26.21590909090909,112.72379547862869,88
24598,Eoin Morgan,Attacker,2443,27.03529411764706,106.3809984712093,85
35263,Virender Sehwag,Attacker,2267,22.75,117.17449807608789,84
37737,Brendon McCullum,Attacker,2203,21.80722891566265,121.49558395217247,83
308967,Jos Buttler,Attacker,2390,24.78481012658228,119.53347917430902,79
321777,David Miller,Attacker,2385,26.435897435897434,117.11565234895748,78
56025,Mahmudullah,Attacker,1949,25.19736842105263,105.09215780649556,76
49764,Angelo Mathews,Attacker,2063,26.16,104.77005434610334,75
49289,Mahela Jayawardene,Attacker,1903,25.866666666666667,98.47197155661755,75
56029,Mushfiqur Rahim,Attacker,1992,26.819444444444443,102.39591981809869,72
233514,Thisara Perera,Attacker,1634,18.430555555555557,119.91668484017305,72
56143,Shakib Al Hasan,Attacker,1848,25.728571428571428,102.87788648987586,70
42657,Shoaib Malik,Attacker,1700,23.542857142857144,103.89573572018045,70
51880,Chris Gayle,Attacker,2236,27.785714285714285,114.1004955999627,70
234675,Ravindra Jadeja,Attacker,1502,20.63768115942029,113.82492898597403,69
325026,Glenn Maxwell,Attacker,2014,22.318840579710145,129.3532508597155,69
