phase,sr_bin,count,win_rate
powerplay,0-50,5669,0.3856059269712471
powerplay,50-70,3198,0.4509068167604753
powerplay,70-85,1944,0.4783950617283951
powerplay,85-100,1576,0.49619289340101524
powerplay,100-120,1236,0.5186084142394822
powerplay,120+,1357,0.5254237288135594
middle,0-50,7661,0.306878997519906
middle,50-70,7044,0.4067291311754685
middle,70-85,4831,0.4707099979300352
middle,85-100,3519,0.5098039215686274
middle,100-120,2171,0.5495163519115615
middle,120+,1611,0.48789571694599626
death,0-50,2552,0.3083855799373041
death,50-70,2654,0.41220798794272795
death,70-85,2372,0.48271500843170323
death,85-100,2669,0.529037092544024
death,100-120,1759,0.564525298465037
death,120+,2384,0.5788590604026845
